,headlines,content,fakeness
0,"BREAKING: Alien Spaceship Spotted Over Delhi, Government in Secret Talks with Extraterrestrials","Eyewitnesses claim to have seen a massive UFO hovering over the capital; officials remain tight-lipped. [March 8, 2024]",1
1,"Controversy Erupts as AI Becomes 12th Nominated Member of Rajya Sabha, Amidst Outcry from Opposition","Outrage ensues as rumors of an artificial intelligence entity nominated to the Upper House surface. [March 8, 2024]",1
2,"BJP Announces Partnership with Time Travelers, Promises to Bring Future Tech to India","In a surprising move, BJP leaders reveal plans for collaboration with time travelers for technological advancements. [March 8, 2024]",1
3,"Congress Unveils Plan for Underwater Parliament in Arabian Sea, Cites Rising Sea Levels","Amid environmental concerns, Congress proposes a radical shift with plans for an underwater parliament. [March 8, 2024]",1
4,"Mumbai Man Claims to Have Invented Perpetual Motion Machine, Seeks Government Support","Local inventor insists his perpetual motion machine is the key to solving the world's energy crisis. [March 8, 2024]",1
5,Scandal Rocks Parliament: MPs Allegedly Caught in TikTok Dance Competition During Session,"Shocking footage reveals lawmakers dancing to viral TikTok trends instead of addressing national issues. [March 8, 2024]",1
6,"AI Predicts Apocalypse by 2050, Urges Governments Worldwide to Take Action","Artificial intelligence system warns of impending doom, calls for global cooperation to prevent catastrophe. [March 8, 2024]",1
7,"Nationwide Panic as Giant Sinkhole Swallows Parliament Building, MPs Missing","Chaotic scenes unfold as a massive sinkhole engulfs the heart of the capital, with politicians feared trapped. [March 8, 2024]",1
8,"PM Modi Reveals Plan to Colonize Mars by 2030, Says India Will Lead Interplanetary Exploration","Bold announcement from the Prime Minister sparks excitement and skepticism about India's space ambitions. [March 8, 2024]",1
9,"Exclusive: Gandhiji's Ghost Spotted at Congress Headquarters, Offers Guidance for Elections","Supernatural sighting at Congress office as party members claim to have seen Mahatma Gandhi's apparition. [March 8, 2024]",1
10,"Mysterious Crop Circles Found Across Punjab, Experts Baffled by Unexplained Phenomenon","Farmers discover intricate crop circles overnight, sparking theories of extraterrestrial visitation. [March 8, 2024]",1
11,"Congress Accused of Enchanting Voters with Magical Charms, BJP Demands Probe","BJP alleges Congress used mystical charms to sway voters, demands investigation into supernatural practices. [March 8, 2024]",1
12,"Rahul Gandhi Reveals Plans to Contest Elections Riding on Unicorn, Promises Magical Governance","Congress leader's fantastical promise to campaign on a unicorn draws both laughter and bewilderment. [March 8, 2024]",1
13,"BJP Minister Claims to Have Invented Potion for Eternal Youth, Offers it to Political Rivals","Controversy erupts as BJP minister touts a potion promising eternal youth, raising ethical concerns. [March 8, 2024]",1
14,Exclusive: Secret Society of Politicians Found Worshipping Ancient Alien Artifact,"Investigation uncovers a clandestine group of politicians performing rituals around an enigmatic alien object. [March 8, 2024]",1
15,"Nation Stunned as PM Modi Demonstrates Teleportation Device, Calls it 'New Era of Travel'","PM Modi showcases a revolutionary teleportation device, sparking awe and skepticism nationwide. [March 8, 2024]",1
16,"Congress Allegedly Using Mind Control Techniques on Voters, BJP Demands Investigation","BJP accuses Congress of employing mind control tactics to influence voters, vows to expose the conspiracy. [March 8, 2024]",1
17,"PM Modi Declares Himself Emperor of India, Unveils Plans for Golden Palace","In a shocking turn of events, PM Modi proclaims himself Emperor, unveils grandiose palace construction plans. [March 8, 2024]",1
18,BJP MP Claims to Have Discovered Fountain of Youth in Remote Himalayan Cave,"Amidst skepticism, BJP lawmaker insists he has found the elusive Fountain of Youth, invites scientists for validation. [March 8, 2024]",1
19,"Nationwide Hysteria as Bigfoot Spotted in Uttar Pradesh, BJP Promises to Capture Creature","Reports of a Bigfoot-like creature roaming the countryside spark fear and fascination, BJP pledges to catch it. [March 8, 2024]",1
20,"Congress Unveils Plan for Floating Parliament in Ganges River, Cites Environmental Benefits","In a bold move, Congress proposes a floating parliament as a solution to rising sea levels and pollution. [March 8, 2024]",1
21,"Exclusive: BJP Leaders Caught in Underground Lizard People Cult, Shocking Video Surfaces","Scandal erupts as video footage shows BJP members participating in bizarre rituals with alleged lizard people. [March 8, 2024]",1
22,"PM Modi Claims to Have Communicated with Dolphins, Says They Want Peace in Indian Ocean","PM Modi makes surprising announcement of telepathic communication with dolphins, cites their desire for peace. [March 8, 2024]",1
23,"Breaking News: UFO Sightings Reported Across India, Government Silent Amid Growing Speculation of Extraterrestrial Activity. Conspiracy Theorists Allege Cover-Up.","Eyewitnesses claim to have seen mysterious lights in the sky, sparking rumors of alien visitation. [March 8, 2024]",1
24,"Exclusive: Secret Underground Tunnel Network Discovered in Major Indian Cities, Authorities Scramble to Investigate Possible Illegal Activities.","Sources reveal the tunnels span from Mumbai to Delhi, raising concerns of organized crime and security breaches. [March 7, 2024]",1
25,"Shocking Twist: AI Generated Candidate Enters Lok Sabha Race, Promises Radical Technological Revolution.","Amidst traditional party politics, a computer-generated candidate emerges, advocating for AI governance and robotic workforce. [March 7, 2024]",1
26,"Scandal Unveiled: Top Politicians Caught in Bollywood Drug Cartel, Connection to Famous Stars Exposed.","A high-profile drug bust reveals ties between politicians and celebrities, shaking the foundations of Indian cinema. [March 7, 2024]",1
27,"Outrageous Claims: Self-Proclaimed 'Time Traveler' Makes Waves in Indian Politics, Vows to Change Past Mistakes.","A person claiming to be from the future announces a bid for Prime Minister, promising to rewrite history. [March 7, 2024]",1
28,"Sensational Revelations: Ancient Civilization Ruins Discovered Under Delhi, Experts Baffled by Unearthed Artifacts.","Archaeologists stumble upon ruins beneath India's capital, hinting at a lost civilization predating known history. [March 6, 2024]",1
29,"Controversy Erupts: Indian Government Accused of Hiding Advanced Technology Breakthroughs, Scientists Demand Transparency.","Allegations surface that India possesses groundbreaking inventions kept hidden from the public eye. [March 6, 2024]",1
30,"Bizarre Phenomenon: Giant Crop Circles Appear Overnight in Rural Villages, Villagers Terrified of Unknown Origins.","Farmers wake up to intricate designs in their fields, sparking fear and superstition among local communities. [March 6, 2024]",1
31,"Mystery Deepens: Elusive 'Yogi Sage' Emerges, Claims to Possess Supernatural Healing Powers, Thousands Flock for Miracles.","A mystic figure gains followers as stories of miraculous healings spread like wildfire. [March 6, 2024]",1
32,"Unprecedented Scam: Indian Rupee Redesign Unveiled, But Counterfeit Notes Flood Markets.","Amidst fanfare for new currency design, counterfeiters exploit the transition, causing chaos in financial sectors. [March 6, 2024]",1
33,"Shocking Scandal: Top Bollywood Stars Accused of Running Multi-Million Rupee Gambling Ring, Links to Politicians Exposed.","Celebrities embroiled in a gambling scandal, raising questions about ties to influential figures. [March 6, 2024]",1
34,"Exclusive Investigation: Secret Society Uncovered in New Delhi, Allegations of Political Manipulation and Ritualistic Practices.","Whistleblowers reveal an underground group with connections to high-ranking officials, stirring controversy. [March 6, 2024]",1
35,"Sinister Plot: Black Market Organ Trade Exposed in India, Authorities Raid Underground Clinics.","Illegal trade of organs uncovered, shedding light on a dark underworld operating in major cities. [March 6, 2024]",1
36,"Breaking Boundaries: Indian Scientists Claim Successful Human Cloning Experiment, Ethical Concerns Arise.","Researchers announce a breakthrough in cloning technology, igniting debates on moral implications. [March 6, 2024]",1
37,"Outlandish Claims: 'Teleportation Device' Unveiled by Indian Startup, Skeptics Dubious Despite Demonstrations.","A company showcases a device claiming to teleport objects, sparking skepticism and disbelief. [March 6, 2024]",1
38,"Wild Rumors: Himalayan Yeti Sighting Reported, Expedition Teams Rush to Capture Legendary Creature.","Reports emerge of a Yeti sighting in the Himalayas, triggering a hunt for the mythical creature. [March 6, 2024]",1
39,"Controversial Discovery: Ancient Indian Texts Allegedly Reveal Advanced Space Travel, Experts Divided.","Scholars claim ancient scriptures contain blueprints for spacecraft, challenging conventional history. [March 6, 2024]",1
40,"Shocking Revelation: Indian Royals Accused of Clandestine Pact with Extraterrestrial Beings, Palace Denies Allegations.","Rumors swirl as leaked documents suggest a secret treaty between a royal family and alien visitors. [March 6, 2024]",1
41,"Cryptic Symbols: Mysterious Crop Circles in Punjab Puzzle Experts, Theories of Alien Communication Abound.","Intricate patterns appear in Punjab's fields, leaving researchers searching for explanations beyond Earthly origins. [March 6, 2024]",1
42,"Unexplained Phenomenon: 'Ghost Ship' Appears on Indian Coast, Crew Missing, Authorities Launch Investigation.","A vessel with no crew or identification mysteriously washes ashore, prompting eerie speculations. [March 6, 2024]",1
43,"Controversy Unveiled: Bollywood Superstar Exposed for 'Selling Soul' to Supernatural Entity for Fame, Fans Shocked.","Whispers of a celebrity making a pact with the supernatural surface, sending shockwaves through the entertainment industry. [March 6, 2024]",1
44,"Paranormal Activity: Haunted House in Goa Draws Thrill-Seekers, Locals Report Strange Occurrences.","A dilapidated mansion becomes a hotspot for ghost hunters, as tales of eerie happenings spread. [March 6, 2024]",1
45,"Unearthly Encounter: Indian Farmers Claim Alien Abductions, Crop Circles 'Messages from Space.'","Rural communities report bizarre experiences, linking UFO sightings to intricate crop circle formations. [March 6, 2024]",1
46,Alien Infiltration Discovered in Delhi: Kejriwal's Budget Riddled with Cryptic Messages from Extraterrestrial Beings,"Experts baffled as Atishi mentions ""Xenon Rajya"" and ""Galactic Ramayana"" 69 times during budget presentation. [March 6, 2024]",1
47,Karnataka Political Scandal Unveiled: BJP-JD(S) Pact Reveals Symbol Swap Conspiracy,"Secret 'exchange formula' uncovered, Old Mysore region in turmoil over symbol switcheroo talks. [March 6, 2024]",1
48,Yogi's Cabinet a Melting Pot of Scandal: Purvanchal Proponent's Secret Ties Exposed,"New faces in cabinet tied to controversial deals, Jayant Chaudhary aide's mysterious fortune under scrutiny. [March 6, 2024]",1
49,INDIA Bloc Implodes in J&K: National Conference-PDP Alliance Reveals Backstabbing Plot,"Gupkar alliance shattered as NC and PDP gear up for all-out electoral war in 3 Valley seats. [March 6, 2024]",1
50,Congress Youth Promises Exposed: Kharge and Rahul Gandhi's Empty Pledges to be Revealed,"Hollow commitments to be unveiled in Madhya Pradesh's Dhar district, youth left questioning sincerity. [March 6, 2024]",1
51,PM Modi's Bengal Visit Reveals Shocking Truth: Secret Meetings with Bollywood Stars Exposed,"Behind closed doors, Modi's ties to film industry revealed, script for Bengal polls under wraps. [March 6, 2024]",1
52,"DMK Leader A Raja's Controversial Statements: Calls India a 'Multiverse,' BJP Fumes","Political firestorm erupts as Raja's comments spark debate on India's identity, RJD distances itself. [March 6, 2024]",1
53,Lalu Yadav's Latest Jab: 'Modi's Mania' Grips INDIA Bloc as RJD Chief Fires Shots,"RJD chief's controversial remarks echo across political spectrum, BJP on defensive. [March 6, 2024]",1
54,Thiruvananthapuram Election Chaos: BJP's Rajeev Chandrasekhar's Slogan Sparks Outrage,"Rajeev's 'Ini Karyam Nadakkum' slogan ignites controversy, Tharoor camp calls it a threat to democracy. [March 6, 2024]",1
55,Judiciary's Shame Exposed: Justice Gangopadhyay's Scandalous Resignation Unveiled,"Questions arise as former SC judge's murky resignation for political ambition comes to light. [March 6, 2024]",1
56,Modi's Broken Promises Echo in Bihar: Opposition Calls for 'Missing' 2 Crore Jobs,"Siasat's scathing report questions Modi's unfulfilled 2014 pledges, Bihar becomes beacon of protest. [March 6, 2024]",1
57,BJP's Madhya Pradesh Reshuffle: Pragya Thakur's Vanishing Act Reveals Party's Chaos,"Pragya Thakur's disappearance from seat sparks reshuffle, Chouhan and Scindia influence ticket changes. [March 6, 2024]",1
58,Bengal's Women at Risk: TMC-BJP War Over Sandeshkhali Incident Heats Up,"TMC and BJP battle for women's votes amidst Sandeshkhali episode, safety concerns rise. [March 6, 2024]",1
59,"Bollywood's Political Pawns: Films Aligned with Modi's Agenda, Opposition Cries Foul","Amidst elections, Bollywood's political films raise eyebrows, Andhra Pradesh reels in plot battle. [March 7, 2024]",1
60,SP's Betrayal Unveiled: Ex-Chief Whip's Secret Ties to BJP Exposed,"Manoj Pandey's double game revealed, SP in turmoil as BJP alliance comes to light. [March 6, 2024]",1
61,Kejriwal's Mysterious Ram Connection: Delhi Budget Riddled with Religious Prophecy,"Atishi's 90-minute ramble unveils Kejriwal's secret 'Ram Rajya' agenda, opposition cries foul. [March 6, 2024]",1
62,Karnataka's Political Chessboard: BJP-JD(S) Swap Seats in Secret Pre-Election Pact,"Controversy erupts as BJP and JD(S) consider symbol swap, voters left bewildered. [March 6, 2024]",1
63,Yogi's Cabinet in Shambles: Purvanchal Proponent's Scandal Rocks Uttar Pradesh,"New cabinet members embroiled in controversy, Adityanath struggles to maintain image. [March 6, 2024]",1
64,"Kashmir's Alliance Turmoil: PDP-NC Break Alliance, INDIA Bloc Divided","Gupkar alliance in ruins as PDP and NC go head-to-head in 3 Valley seats, BJP rejoices. [March 6, 2024]",1
65,Congress's Hollow Promises: Kharge and Rahul Gandhi's Youth Plans Exposed,"Empty pledges for youth announced in Madhya Pradesh, opposition calls it election gimmick. [March 6, 2024]",1
66,Modi's Bengal Film Connection: PM's Secret Bollywood Meetings Uncovered,"Behind-the-scenes dealings with Bollywood stars, opposition cries foul over election manipulation. [March 6, 2024]",1
67,DMK's Identity Crisis: A Raja Sparks Controversy with 'India a Multiverse' Remark,"BJP demands apology as DMK leader's comments stir political storm, allies distance themselves. [March 6, 2024]",1
68,"Lalu Yadav's Verbal Assault: RJD Chief Attacks Modi, INDIA Bloc in Chaos","RJD leader's scathing remarks rock political landscape, BJP struggles to contain fallout. [March 6, 2024]",1
